key, value
45693, 2.138789647799933e-6
18782, -2.1141782782949896e-6
15004, -1.1040108121384354e-5
9934, 1.5050182860936049e-5
189821, -2.1141782782949896e-6
1333, -1.0336775192075642e-6
3485, 8.03844693189777e-6
1671, -4.691335770828238e-5
14882, 3.590860448591509e-6
9488, -7.898319033982688e-6
54189, -2.1387896477999316e-6
20372, -2.8202552013403085e-6
7237, -4.895263032353436e-6
318, 0.0016055046982106954
873, 1.7216918772312345e-6
7514, 0.0002522222187313389
37229, -2.1387896477999316e-6
50557, -2.1141782782949896e-6
49126, -1.100037043575569e-6
30033, 4.919874401858376e-6
15207, 4.4927842810640104e-5
54917, -4.870651662848493e-6
60122, 2.905552364526975e-5
39580, -1.8458527128706486e-6
32358, 1.100037043575569e-6
27453, 2.138789647799932e-6
59941, -3.590860448591509e-6
25976, -1.9575467852686955e-5
6426, -2.7390224454010293e-5
60072, -2.065419325172173e-5
1616, 0.0005488691371633951
14398, 2.1634010173048727e-6
8421, -3.590860448591509e-6
621, 0.009628248700687311
60645, -3.590860448591509e-6
54612, -2.065419325172173e-5
110504, 2.8202552013403085e-6
8058, 2.2150232554447797e-6
228008, -2.8202552013403085e-6
154, -0.054378880108084685
3191, 4.8776621077176533e-5
32433, 5.2250318379456235e-6
6611, -1.0070265184237742e-5
13670, -5.067582466242908e-6
1683, -6.708239141955179e-5
227693, 2.1141782782949896e-6
106464, -1.1075116277223894e-6
30245, 3.590860448591509e-6
9341, 2.5287180932507597e-5
4755, -1.845852712870649e-6
47441, 4.919874401858376e-6
15125, -3.147406804709275e-5
2103, -6.025220328628371e-6
227988, -2.8202552013403085e-6
26595, -1.8458527128706486e-6
3001, 2.0778960314780712e-5
1146, -2.215023255444778e-6
9208, -1.972393670673987e-5
14197, -2.2150232554447797e-6
4269, -2.1387896477999316e-6
9916, -1.2950915353277852e-6
1230, 1.4724762704892726e-5
54963, 2.324792663381582e-6
6634, -0.0002559490960590456
8547, -1.8458527128706486e-6
573, -0.0016055046982106959
7504, -7.339820644763612e-5
238968, -1.8186240274775704e-6
3597, 7.603544343435593e-6
11890, -4.940383496534378e-5
56979, -1.8458527128706486e-6
9760, -7.898319033982688e-6
219093, 3.590860448591509e-6
9357, 1.6876813913497745e-6
13728, 7.336404800502606e-5
59868, -1.8458527128706486e-6
6715, -5.775691158999408e-6
7379, -1.8458527128706486e-6
2933, 1.078363483741919e-5
3432, 0.0013531701729589194
32610, 4.9198744018583755e-6
1052, 1.8458527128706493e-6
54846, -2.1387896477999316e-6
19882, 3.590860448591509e-6
243178, 3.590860448591509e-6
13676, 1.1040108121384353e-5
11392, 2.953364340593039e-6
1813, -0.0002664785803362698
8184, -0.00016999905691253355
6591, -2.9288002099151056e-6
11806, -2.306250537792824e-5
9336, -1.9729917309486424e-5
8064, 1.8609821840433124e-5
38297, -1.1000370435755685e-6
25997, 1.5486334885214894e-6
20472, -1.8186240274775704e-6
366, -2.9699218920014703e-5
6904, -0.0001701526142071388
2302, -0.00021141659238069804
13396, 2.0864193307109315e-5
2277, -0.0002530249125924852
54392, 1.837953751885448e-6
27646, 2.4578438516945013e-5
59674, -3.590860448591509e-6
56900, 2.8202552013403085e-6
8601, 1.100037043575568e-6
60852, 1.9609626295297035e-5
60808, -2.820255201340308e-6
14093, 5.635430791933322e-7
732, -0.00038917393206141376
8516, -2.8202552013403085e-6
14228, 0.00018037941579488882
191466, -3.590860448591509e-6
109984, 1.1075116277223894e-6
38784, -2.953364340593038e-6
32375, 5.176469702355209e-6
12933, 4.870651662848493e-6
109309, -2.1141782782949896e-6
47381, 3.590860448591509e-6
229268, -2.8202552013403085e-6
9551, 2.0123603063700218e-5
1853, -0.000214823544125419
14584, 1.9714735779437494e-5
47469, -2.425159044968454e-5
11796, -2.158958643229889e-5
142, 0.00894378239314917
36522, 3.590860448591509e-6
13633, 9.618038525881837e-6
12116, 0.00018082758831621234
189861, -3.590860448591509e-6
12628, 2.090605752633514e-5
39601, -5.2252618611281826e-6
46048, -1.1075116277223894e-6
59752, -2.0555743329586274e-5
14503, -4.8320491583603e-6
12053, 3.147406804709276e-5
245368, -1.8186240274775704e-6
228688, -1.1075116277223894e-6
1563, 4.304765733593931e-5
12058, 2.7622181146904823e-5
218448, -1.1075116277223894e-6
13682, 4.952200307642029e-5
9798, -1.2498332210515962e-6
15118, 5.635430791933326e-7
418, 0.002307439465591464
9790, 2.538558680222042e-5
373, -4.02798302612747e-5
9318, 1.1000370435755685e-6
13523, 1.8458527128706486e-6
6903, 4.8082910044589414e-5
27633, 5.40836031444553e-6
120229, -3.590860448591509e-6
9970, 5.01310632842631e-5
503, -0.0018879278126783864
129704, 2.8202552013403085e-6
7424, 3.980432869709379e-6
2494, 0.0015760491289665086
120734, 2.1141782782949896e-6
191341, 2.1141782782949896e-6
158356, -2.8202552013403085e-6
30426, -2.9055523645269753e-5
190456, 1.8186240274775704e-6
2572, 3.1010325576226902e-6
47269, 3.590860448591509e-6
38698, 3.590860448591509e-6
53664, 1.1075116277223894e-6
1167, 2.0424898339467528e-5
60670, -2.138789647799931e-6
4628, 2.8202552013403085e-6
219088, -1.1075116277223894e-6
6624, 7.176261158905867e-5
36437, 3.590860448591509e-6
27301, 2.905552364526975e-5
1740, -2.0744877763666856e-5
3332, -2.4423414267927725e-5
1926, -2.54280131105969e-6
39070, 2.138789647799932e-6
48362, 3.590860448591509e-6
13766, 1.3759249283061828e-6
61339, -4.754730260728792e-6
121704, -2.8202552013403085e-6
1134, -1.2247734545262128e-6
14283, 5.255902319656472e-6
27283, 1.8458527128706486e-6
238928, -1.1075116277223894e-6
32421, 2.905552364526975e-5
166, -0.0006067773250376513
12618, 4.870651662848492e-6
4945, -4.919874401858377e-6
15018, -0.0002581641193144904
6723, -3.996582842344473e-6
126, 0.04746540350062448
3746, 0.0003318519789797556
12123, 4.576606984643997e-5
104154, -3.590860448591509e-6
13688, 0.00016981921704489883
9276, -1.0438051180253796e-6
38229, -2.905552364526975e-5
3342, -7.603544343435606e-6
25086, -2.138789647799932e-6
303, -6.746982302446983e-7
567, -0.00034808465484383386
38334, -2.4868384383063173e-5
196446, -2.1141782782949896e-6
11306, -3.590860448591509e-6
30444, 1.8458527128706486e-6
54782, -2.4578438516945013e-5
4761, -1.1000370435755691e-6
11974, -1.3759249283061828e-6
109989, -3.590860448591509e-6
153301, 3.590860448591509e-6
61411, -1.8458527128706486e-6
228693, 3.590860448591509e-6
3392, -0.00015008805467715437
13517, 1.3420715595541502e-6
4024, -1.0336775192075646e-6
1309, -8.742247904791e-7
9896, 0.00018095107270504817
4733, -2.505522423961307e-5
219818, 3.590860448591509e-6
48414, 2.1387896477999316e-6
1896, -0.0013524185235863709
