key, value
99692, -2.3836752221707317e-5
240109, 5.372934978040289e-6
611731, 1.7993695431002222e-5
127295, -2.1126896673951515e-6
759144, -7.429586214128763e-5
30216, -0.00022339076978586137
238202, 5.431867717007426e-6
819186, -7.895391674873248e-6
150463, -1.2863519247444236e-5
148130, 3.944430472393205e-6
9934, 0.000261759386014164
181107, -4.3590159466151426e-6
474548, -9.478079411066527e-6
8805, -5.6012836122564785e-6
1333, -0.00025963100442285474
3932019, 4.14198639822165e-6
874127, 3.2076336287997194e-5
227515, -3.4115253303427225e-5
424678, -1.5174247497651907e-5
613364, 5.845184939512632e-5
50996, 3.495821721092634e-5
403810, 3.5646001038042876e-6
3925413, -1.1218087759368496e-5
233464, -6.011207552014487e-5
189730, 2.063504483274073e-5
219279, -3.305631809539334e-5
127038, -4.338642691827488e-6
484320, 8.502900452219049e-6
414206, 5.73264773047483e-6
785102, 1.7552706008337047e-6
145996, 1.1922686002102189e-5
958246, 6.045075707312978e-6
100869, -1.705952520780906e-5
3496562, 5.280891979778814e-6
3520155, -3.0182269430336096e-6
196201, -8.595843745780378e-7
777111, 1.3886353999464637e-6
155910, 9.933542404167865e-7
7237, -0.0007894911156806424
955936, -1.0917804920675391e-5
76498, -6.5010079583782844e-6
191282, 6.253680154162384e-5
56907, 0.0001529006940216945
150418, -4.775317514038789e-6
25786, -7.463411538982856e-5
229305, 5.153540225041698e-5
972780, 2.497837109743291e-5
60097, -0.0005164447920043262
149962, -1.0080568295164558e-6
217833, -1.1277250425706374e-6
227447, -3.558072617091502e-5
220367, 7.88832930224537e-6
54510, -1.2475219953715753e-5
915020, 1.2464388628948195e-5
182597, 3.4275756146608895e-5
7514, 0.005903575186963256
3107476, 1.2111604309318965e-5
3140450, 3.602716774795769e-6
45607, 1.3226899812614486e-5
227748, 6.793683412940596e-6
144059, 5.306897816588544e-6
878779, 5.185014985223083e-6
5784, -4.2590799532117794e-6
50557, -0.00024241893916461462
610634, -6.223572453277667e-6
480621, 3.379086913930452e-5
19769, 3.2412966607071577e-6
129669, 0.00020428029517535615
198608, 8.606344280826914e-6
208179, 3.668204803347638e-6
153797, 2.04884462102855e-6
917492, 5.8534637218630616e-5
32789, -1.2076485698160292e-5
438618, -1.131991009071749e-5
30033, 0.0008667393968302818
414186, 1.2249851938092003e-5
220007, -0.00014505728808059974
956059, 2.6666542693597565e-5
39580, -0.0005463520988074261
425054, 4.2742072089371805e-6
228114, 1.2130776779396736e-5
54371, 8.620376755830014e-5
201888, 1.3035600448077716e-5
425024, -4.9095330501017765e-6
56241, 2.6999840235664327e-6
14446, -0.00011221656542674566
58060, -9.426267915755333e-5
441986, 2.3793427171741035e-5
982561, -2.226863348598921e-6
835407, 4.388338072715232e-6
194307, -4.1039800858873295e-5
154926, -2.5398752692087707e-6
184212, 7.392024352129328e-5
764949, -4.283751852720288e-6
49003, -3.085787133423831e-5
1616, 0.024743332395009105
14398, 0.0004478096174944024
61057, 1.0651088184238123e-6
145979, 7.329822643539543e-6
2490366, 6.764170173933852e-6
59569, -0.0001815370242601017
8421, -0.00023602185124229851
117802, -4.03074725346257e-6
159343, 6.724945406789025e-6
